user_id,article_1,article_2,article_3,article_4,article_5
200000,237870,194935,50573,187005,195645
200001,64329,272143,324823,199198,166581
200002,300128,61375,293301,300923,202701
200003,337143,199197,272143,156619,235230
200004,235870,235616,336220,336223,156964
200005,69932,160974,156964,160417,158536
200006,199197,284547,183176,235230,158192
200007,289003,157478,97530,66672,218028
200008,235870,300082,64409,336223,235616
200009,198659,199198,64329,166581,324823
200010,158536,162655,218337,64329,160974
200011,272143,198659,182394,64329,224658
200012,123818,124228,199198,123290,124352
200013,272143,336245,235652,166581,336220
200014,156560,162765,337890,272143,158536
200015,336221,156964,300082,214631,199198
200016,20691,198659,284583,64329,166581
200017,115311,162839,10145,214945,208322
200018,288440,234698,235870,235616,338340
200019,15226,121834,16911,198659,272143
200020,233717,235870,198659,95716,293301
200021,198659,199198,64329,156560,166581
200022,235870,336221,64409,300082,272143
200023,358109,198275,214800,156964,199716
200024,336221,234267,277491,64329,157077
200025,166581,198659,324823,162655,224658
200026,286336,234051,189524,42356,283552
200027,59817,59888,59827,59848,194951
200028,348111,182513,275192,341838,275190
200029,124748,96210,336220,336221,124176
200030,123818,123290,124352,199198,124228
200031,156560,272218,301030,97082,108856
200032,156560,162765,337890,272143,158536
200033,235870,119193,272143,48403,123757
200034,197151,87179,172576,236444,215861
200035,236808,234698,161506,237055,301015
200036,293301,156560,156654,95716,234698
200037,308502,284985,337735,83534,198659
200038,236065,234391,67021,336476,236126
200039,282046,337278,224486,149610,282685
200040,67021,336476,236250,107039,273054
200041,336220,272143,277492,235854,129029
200042,211863,199197,338340,123909,235230
200043,159762,285719,161439,233717,313431
200044,168623,301015,237524,95972,160417
200045,156560,83752,199197,84044,82785
200046,353012,214341,251110,351820,353680
200047,272143,96210,133160,175040,288440
200048,182513,336476,348134,272143,284474
200049,199197,272143,156619,235230,158536
200050,235230,272143,289090,233717,160417
200051,198659,199198,64329,166581,324823
200052,168623,156560,293301,236951,276970
200053,42873,272143,158536,36161,288435
200054,272143,175040,166581,162655,198659
200055,32082,257291,161506,289126,64329
200056,284547,198659,66347,65341,199198
200057,96464,285281,272762,95763,138248
200058,198659,161506,64329,156560,166581
200059,278894,275192,336221,235870,218028
200060,233717,156560,59057,293301,133160
200061,336221,235870,31836,133160,236207
200062,202376,208596,160974,160417,158536
200063,199197,64329,198659,199198,264771
200064,198659,199198,64329,166581,324823
200065,14394,199197,236951,284547,358109
200066,336223,272143,64329,194951,50878
200067,235870,156964,95716,159762,315105
200068,124748,124350,124228,25325,293050
200069,336221,288320,59057,289003,119193
200070,182513,336476,348134,272143,284474
200071,95716,234698,293114,235616,132497
200072,59057,31836,303180,336223,235230
200073,124748,123290,124352,123818,168623
200074,166581,198659,324823,162655,224658
200075,272143,123757,224658,124177,124350
200076,336476,161149,156052,348134,70773
200077,80055,272401,311514,218289,156624
200078,199198,324823,64329,166581,224658
200079,331116,283009,234051,336254,202355
200080,256026,255875,255747,254491,255486
200081,42530,208473,156560,42967,160417
200082,156560,162765,337890,272143,158536
200083,235870,95716,245161,300082,315105
200084,156964,277492,235230,235870,336221
200085,336223,133506,297906,59057,288680
200086,199198,166581,162655,156560,175040
200087,234698,276970,133160,168623,336223
200088,156560,162765,337890,272143,158536
200089,199197,284547,234698,331116,160417
200090,198659,64329,199197,233717,166581
200091,285648,64329,160417,175040,29984
200092,313932,312619,123757,74587,123289
200093,235870,95716,289003,156964,315105
200094,198659,64329,166581,162655,224658
200095,209236,186039,218028,331116,202559
200096,124350,124748,124177,156560,124228
200097,235870,199198,166581,315105,324823
